Kab/Kota,jumlah,jns_kelamin,profesi,unit_kerja,tahun
Kabupaten Tasikmalaya,1,laki-laki,dokter gigi,rumah sakit,2021
Kabupaten Tasikmalaya,0,laki-laki,dokter gigi spesialis,rumah sakit,2021
Kabupaten Tasikmalaya,2,perempuan,dokter gigi,rumah sakit,2021
Kabupaten Tasikmalaya,0,perempuan,dokter gigi spesialis,rumah sakit,2021
Kota Bandung,83,laki-laki,dokter gigi,rumah sakit,2021
Kota Bandung,72,laki-laki,dokter gigi spesialis,rumah sakit,2021
Kota Bandung,218,perempuan,dokter gigi,rumah sakit,2021
Kota Bandung,121,perempuan,dokter gigi spesialis,rumah sakit,2021
Kota Banjar,0,laki-laki,dokter gigi,rumah sakit,2021
Kota Banjar,0,laki-laki,dokter gigi spesialis,rumah sakit,2021
Kota Banjar,1,perempuan,dokter gigi,rumah sakit,2021
Kota Banjar,1,perempuan,dokter gigi spesialis,rumah sakit,2021
Kota Bekasi,29,laki-laki,dokter gigi,rumah sakit,2021
Kota Bekasi,26,laki-laki,dokter gigi spesialis,rumah sakit,2021
Kota Bekasi,110,perempuan,dokter gigi,rumah sakit,2021
Kota Bekasi,57,perempuan,dokter gigi spesialis,rumah sakit,2021
Kota Bogor,12,laki-laki,dokter gigi,rumah sakit,2021
Kota Bogor,18,laki-laki,dokter gigi spesialis,rumah sakit,2021
Kota Bogor,60,perempuan,dokter gigi,rumah sakit,2021
Kota Bogor,33,perempuan,dokter gigi spesialis,rumah sakit,2021
Kota Cimahi,6,laki-laki,dokter gigi,rumah sakit,2021
Kota Cimahi,8,laki-laki,dokter gigi spesialis,rumah sakit,2021
Kota Cimahi,25,perempuan,dokter gigi,rumah sakit,2021
Kota Cimahi,20,perempuan,dokter gigi spesialis,rumah sakit,2021
Kota Cirebon,6,laki-laki,dokter gigi,rumah sakit,2021
Kota Cirebon,9,laki-laki,dokter gigi spesialis,rumah sakit,2021
Kota Cirebon,14,perempuan,dokter gigi,rumah sakit,2021
Kota Cirebon,7,perempuan,dokter gigi spesialis,rumah sakit,2021
Kota Depok,21,laki-laki,dokter gigi,rumah sakit,2021
Kota Depok,29,laki-laki,dokter gigi spesialis,rumah sakit,2021
Kota Depok,63,perempuan,dokter gigi,rumah sakit,2021
Kota Depok,64,perempuan,dokter gigi spesialis,rumah sakit,2021
Kota Sukabumi,4,laki-laki,dokter gigi,rumah sakit,2021
Kota Sukabumi,1,laki-laki,dokter gigi spesialis,rumah sakit,2021
Kota Sukabumi,10,perempuan,dokter gigi,rumah sakit,2021
Kota Sukabumi,4,perempuan,dokter gigi spesialis,rumah sakit,2021
Kota Tasikmalaya,6,laki-laki,dokter gigi,rumah sakit,2021
Kota Tasikmalaya,2,laki-laki,dokter gigi spesialis,rumah sakit,2021
Kota Tasikmalaya,16,perempuan,dokter gigi,rumah sakit,2021
Kota Tasikmalaya,3,perempuan,dokter gigi spesialis,rumah sakit,2021
Kabupaten Bekasi,31,laki-laki,dokter gigi,klinik diklat kesehatan,2021
Kabupaten Bekasi,11,laki-laki,dokter gigi spesialis,klinik diklat kesehatan,2021
Kabupaten Bekasi,139,perempuan,dokter gigi,klinik diklat kesehatan,2021
Kabupaten Bekasi,28,perempuan,dokter gigi spesialis,klinik diklat kesehatan,2021
Kabupaten Garut,4,laki-laki,dokter gigi,klinik diklat kesehatan,2021
Kabupaten Garut,1,laki-laki,dokter gigi spesialis,klinik diklat kesehatan,2021
Kabupaten Garut,7,perempuan,dokter gigi,klinik diklat kesehatan,2021
Kabupaten Garut,0,perempuan,dokter gigi spesialis,klinik diklat kesehatan,2021
Kabupaten Garut,1,laki-laki,dokter gigi,klinik DINKES,2021
Kabupaten Garut,0,laki-laki,dokter gigi spesialis,klinik DINKES,2021
Kabupaten Garut,1,perempuan,dokter gigi,klinik DINKES,2021
Kabupaten Garut,0,perempuan,dokter gigi spesialis,klinik DINKES,2021
Kota Bandung,34,laki-laki,dokter gigi,klinik DINKES,2021
Kota Bandung,10,laki-laki,dokter gigi spesialis,klinik DINKES,2021
Kota Bandung,119,perempuan,dokter gigi,klinik DINKES,2021
Kota Bandung,23,perempuan,dokter gigi spesialis,klinik DINKES,2021
Kota Cirebon,4,laki-laki,dokter gigi,klinik DINKES,2021
Kota Cirebon,0,laki-laki,dokter gigi spesialis,klinik DINKES,2021
Kota Cirebon,16,perempuan,dokter gigi,klinik DINKES,2021
Kota Cirebon,0,perempuan,dokter gigi spesialis,klinik DINKES,2021
Kota Tasikmalaya,24,laki-laki,dokter gigi,klinik DINKES,2021
Kota Tasikmalaya,18,laki-laki,dokter gigi spesialis,klinik DINKES,2021
Kota Tasikmalaya,44,perempuan,dokter gigi,klinik DINKES,2021
Kota Tasikmalaya,20,perempuan,dokter gigi spesialis,klinik DINKES,2021
 Kabupaten Bandung,7,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Bandung,2,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Bandung,21,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Bandung,13,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Bandung Barat,5,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Bandung Barat,3,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Bandung Barat,13,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Bandung Barat,9,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Bekasi,24,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Bekasi,14,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Bekasi,102,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Bekasi,35,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Bogor,17,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Bogor,23,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Bogor,62,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Bogor,32,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Ciamis,2,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Ciamis,1,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Ciamis,6,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Ciamis,3,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Cianjur,1,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Cianjur,1,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Cianjur,8,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Cianjur,3,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Cirebon,3,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Cirebon,7,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Cirebon,14,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Cirebon,9,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Garut,1,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Garut,0,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Garut,7,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Garut,2,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Indramayu,3,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Indramayu,1,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Indramayu,6,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Indramayu,4,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Karawang,17,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Karawang,11,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Karawang,32,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Karawang,10,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Kuningan,5,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Kuningan,0,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Kuningan,12,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Kuningan,2,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Majalengka,1,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Majalengka,1,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Majalengka,6,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Majalengka,0,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Pangandaran,1,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Pangandaran,1,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Pangandaran,2,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Pangandaran,1,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Purwakarta,2,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Purwakarta,3,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Purwakarta,16,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Purwakarta,3,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Subang,20,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Subang,1,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Subang,20,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Subang,0,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Sukabumi,6,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Sukabumi,3,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Sukabumi,15,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Sukabumi,1,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Sumedang,4,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Sumedang,0,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Sumedang,3,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Sumedang,0,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Tasikmalaya,9,laki-laki,dokter gigi,rumah sakit,2022
 Kabupaten Tasikmalaya,0,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Tasikmalaya,18,perempuan,dokter gigi,rumah sakit,2022
 Kabupaten Tasikmalaya,0,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kota Bandung,67,laki-laki,dokter gigi,rumah sakit,2022
 Kota Bandung,95,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kota Bandung,177,perempuan,dokter gigi,rumah sakit,2022
 Kota Bandung,146,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kota Banjar,0,laki-laki,dokter gigi,rumah sakit,2022
 Kota Banjar,0,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kota Banjar,1,perempuan,dokter gigi,rumah sakit,2022
 Kota Banjar,1,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kota Bekasi,29,laki-laki,dokter gigi,rumah sakit,2022
 Kota Bekasi,26,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kota Bekasi,109,perempuan,dokter gigi,rumah sakit,2022
 Kota Bekasi,64,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kota Bogor,13,laki-laki,dokter gigi,rumah sakit,2022
 Kota Bogor,21,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kota Bogor,65,perempuan,dokter gigi,rumah sakit,2022
 Kota Bogor,41,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kota Cimahi,10,laki-laki,dokter gigi,rumah sakit,2022
 Kota Cimahi,8,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kota Cimahi,24,perempuan,dokter gigi,rumah sakit,2022
 Kota Cimahi,24,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kota Cirebon,6,laki-laki,dokter gigi,rumah sakit,2022
 Kota Cirebon,18,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kota Cirebon,16,perempuan,dokter gigi,rumah sakit,2022
 Kota Cirebon,8,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kota Depok,17,laki-laki,dokter gigi,rumah sakit,2022
 Kota Depok,30,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kota Depok,54,perempuan,dokter gigi,rumah sakit,2022
 Kota Depok,60,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kota Sukabumi,2,laki-laki,dokter gigi,rumah sakit,2022
 Kota Sukabumi,1,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kota Sukabumi,11,perempuan,dokter gigi,rumah sakit,2022
 Kota Sukabumi,3,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kota Tasikmalaya,6,laki-laki,dokter gigi,rumah sakit,2022
 Kota Tasikmalaya,2,laki-laki,dokter gigi spesialis,rumah sakit,2022
 Kota Tasikmalaya,13,perempuan,dokter gigi,rumah sakit,2022
 Kota Tasikmalaya,2,perempuan,dokter gigi spesialis,rumah sakit,2022
 Kabupaten Bandung,11,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Bandung,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Bandung,61,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Bandung,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Bandung Barat,7,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Bandung Barat,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Bandung Barat,32,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Bandung Barat,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Bekasi,4,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Bekasi,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Bekasi,41,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Bekasi,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Bogor,5,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Bogor,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Bogor,69,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Bogor,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Ciamis,3,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Ciamis,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Ciamis,14,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Ciamis,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Cianjur,9,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Cianjur,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Cianjur,27,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Cianjur,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Cirebon,12,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Cirebon,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Cirebon,43,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Cirebon,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Garut,6,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Garut,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Garut,21,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Garut,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Indramayu,7,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Indramayu,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Indramayu,29,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Indramayu,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Karawang,7,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Karawang,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Karawang,28,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Karawang,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Kuningan,8,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Kuningan,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Kuningan,16,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Kuningan,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Majalengka,7,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Majalengka,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Majalengka,17,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Majalengka,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Pangandaran,6,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Pangandaran,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Pangandaran,11,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Pangandaran,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Purwakarta,6,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Purwakarta,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Purwakarta,17,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Purwakarta,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Subang,2,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Subang,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Subang,23,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Subang,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Sukabumi,11,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Sukabumi,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Sukabumi,21,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Sukabumi,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Sumedang,7,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Sumedang,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Sumedang,19,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Sumedang,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kabupaten Tasikmalaya,9,laki-laki,dokter gigi,puskesmas,2022
 Kabupaten Tasikmalaya,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kabupaten Tasikmalaya,18,perempuan,dokter gigi,puskesmas,2022
 Kabupaten Tasikmalaya,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kota Bandung,12,laki-laki,dokter gigi,puskesmas,2022
 Kota Bandung,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kota Bandung,48,perempuan,dokter gigi,puskesmas,2022
 Kota Bandung,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kota Banjar,2,laki-laki,dokter gigi,puskesmas,2022
 Kota Banjar,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kota Banjar,6,perempuan,dokter gigi,puskesmas,2022
 Kota Banjar,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kota Bekasi,0,laki-laki,dokter gigi,puskesmas,2022
 Kota Bekasi,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kota Bekasi,81,perempuan,dokter gigi,puskesmas,2022
 Kota Bekasi,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kota Bogor,2,laki-laki,dokter gigi,puskesmas,2022
 Kota Bogor,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kota Bogor,47,perempuan,dokter gigi,puskesmas,2022
 Kota Bogor,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kota Cimahi,0,laki-laki,dokter gigi,puskesmas,2022
 Kota Cimahi,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kota Cimahi,17,perempuan,dokter gigi,puskesmas,2022
 Kota Cimahi,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kota Cirebon,4,laki-laki,dokter gigi,puskesmas,2022
 Kota Cirebon,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kota Cirebon,18,perempuan,dokter gigi,puskesmas,2022
 Kota Cirebon,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kota Depok,1,laki-laki,dokter gigi,puskesmas,2022
 Kota Depok,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kota Depok,49,perempuan,dokter gigi,puskesmas,2022
 Kota Depok,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kota Sukabumi,3,laki-laki,dokter gigi,puskesmas,2022
 Kota Sukabumi,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kota Sukabumi,11,perempuan,dokter gigi,puskesmas,2022
 Kota Sukabumi,0,perempuan,dokter gigi spesialis,puskesmas,2022
 Kota Tasikmalaya,2,laki-laki,dokter gigi,puskesmas,2022
 Kota Tasikmalaya,0,laki-laki,dokter gigi spesialis,puskesmas,2022
 Kota Tasikmalaya,9,perempuan,dokter gigi,puskesmas,2022
 Kota Tasikmalaya,0,perempuan,dokter gigi spesialis,puskesmas,2022
Kabupaten Karawang,0,laki-laki,dokter gigi,klinik DINKES,2022
Kabupaten Karawang,0,laki-laki,dokter gigi spesialis,klinik DINKES,2022
Kabupaten Karawang,1,perempuan,dokter gigi,klinik DINKES,2022
Kabupaten Karawang,0,perempuan,dokter gigi spesialis,klinik DINKES,2022
Kota Purwakarta,0,laki-laki,dokter gigi,klinik DINKES,2022
Kota Purwakarta,0,laki-laki,dokter gigi spesialis,klinik DINKES,2022
Kota Purwakarta,1,perempuan,dokter gigi,klinik DINKES,2022
Kota Purwakarta,0,perempuan,dokter gigi spesialis,klinik DINKES,2022
